4,47338340e-04
8,47099743e-04
1,88153062e-03
1,79706883e-03
4,37892566e-03
1,93296276e-03
2,83904682e-02
2,44932758e-01
3,38648261e-03
2,05123983e-04
1,64909665e-02
1,72375561e-03
1,14757354e-03
8,96195405e-03
3,40206319e-03
8,31872038e-04
1,00267506e-03
1,71234159e-02
9,99403603e-04
3,56485603e-04
4,46968621e-04
8,13440066e-04
7,50321622e-02
1,21564202e-03
5,58316181e-01
2,13002111e-03
5,08993437e-03
5,24307262e-04
4,99514566e-04
1,04163696e-02
4,59321180e-04
6,93939000e-04
6,71594823e-04
3,32954680e-03
